State,Tract,County,StateLegislativeDistrictsUpper
36,007302,029,060
36,007303,029,060
36,007304,029,060
36,007400,005,032
36,007400,005,034
36,007400,047,020
36,007400,061,027
36,007400,061,028
36,007400,085,023
36,007400,085,024
36,007401,119,037
36,007402,119,037
36,007500,005,032
36,007500,047,025
36,007500,047,026
36,007500,055,056
36,007500,055,061
36,007500,061,027
36,007500,081,012
36,007500,085,023
36,007500,085,024
36,007500,119,037
36,007600,005,032
36,007600,005,033
36,007600,029,060
36,007600,047,020
36,007600,055,055
36,007600,061,027
36,007600,061,028
36,007600,119,037
36,007700,005,032
36,007700,029,060
36,007700,047,025
36,007700,047,026
36,007700,055,055
36,007700,061,027
36,007700,081,012
36,007700,085,023
36,007700,119,037
36,007800,005,032
36,007800,005,034
36,007800,029,060
36,007800,047,020
36,007800,047,025
36,007800,061,027
36,007800,061,028
36,007800,119,037
36,007801,055,055
36,007802,055,055
36,007900,005,029
36,007900,005,032
36,007900,055,055
36,007900,055,056
36,007900,061,027
36,007900,081,012
36,007900,119,037
36,007901,029,060
36,007902,029,060
36,007903,029,060
36,007904,029,060
36,007905,029,060
36,008000,047,020
36,008000,047,025
36,008000,055,055
36,008000,055,056
36,008000,061,027
36,008000,061,028
36,008000,119,037
36,008001,029,060
36,008002,029,060
36,008003,029,060
36,008100,055,055
36,008100,055,056
36,008100,061,027
36,008100,081,012
36,008100,085,023
36,008100,119,037
36,008101,029,060
36,008102,029,060
36,008200,047,020
36,008200,047,025
36,008200,055,055
36,008200,061,027
36,008200,061,028
36,008200,119,037
36,008201,029,060
36,008202,029,060
36,008300,005,032
36,008300,029,060
36,008300,061,027
36,008300,081,012
36,008301,055,055
36,008301,119,037
36,008302,119,037
36,008400,005,034
36,008400,029,060
36,008400,047,020
36,008400,047,025
36,008400,055,055
36,008400,061,027
36,008401,119,037
36,008403,119,037
36,008404,119,037
36,008500,005,032
36,008500,029,060
36,008500,047,025
36,008500,055,056
36,008500,081,012
36,008500,119,037
36,008600,005,032
36,008600,005,034
36,008600,029,060
36,008600,047,017
36,008600,055,056
36,008600,081,015
36,008601,061,027
36,008601,061,028
36,008602,061,028
36,008602,061,029
36,008602,119,037
36,008603,061,028
36,008603,061,029
36,008700,005,032
36,008700,029,060
36,008700,061,027
36,008700,081,012
36,008700,119,037
36,008701,055,056
36,008702,055,056
36,008702,055,061
36,008800,029,060
36,008800,047,017
36,008800,047,021
36,008800,055,056
36,008800,061,027
36,008800,061,028
36,008800,081,015
36,008800,119,035
36,008800,119,037
36,008900,005,032
36,008900,029,061
36,008900,061,027
36,008900,085,023
36,008901,119,035
36,008901,119,037
36,008902,119,037
36,009000,005,032
36,009000,005,034
36,009000,047,017
36,009000,047,021
36,009000,061,027
36,009000,061,028
36,009000,119,035
36,009000,119,037
36,009004,029,061
36,009006,029,061
36,009007,029,061
36,009008,029,061
36,009009,029,061
36,009010,029,061
36,009100,061,027
36,009100,081,012
36,009100,119,035
36,009104,029,061
36,009106,029,061
36,009107,029,061
36,009109,029,061
36,009110,029,061
36,009112,029,061
36,009113,029,061
36,009114,029,061
36,009115,029,061
36,009116,029,061
36,009200,005,032
36,009200,005,034
36,009200,029,061
36,009200,047,017
36,009200,055,056
36,009200,061,027
36,009200,061,028
36,009200,119,035
36,009300,005,032
36,009300,005,034
36,009300,061,027
36,009300,119,035
36,009301,029,061
36,009301,055,055
36,009301,055,056
36,009302,029,061
36,009302,055,055
36,009302,055,056
36,009400,047,017
36,009400,047,020
36,009400,055,056
36,009400,061,027
36,009400,061,028
36,009400,081,010
36,009400,081,015
36,009400,119,035
36,009401,029,061
36,009402,029,061
36,009500,055,056
36,009500,061,027
36,009500,081,012
36,009500,119,035
36,009501,029,061
36,009502,029,061
36,009600,005,034
36,009600,029,061
36,009600,047,017
36,009600,047,020
36,009600,061,027
36,009600,081,010
36,009600,119,035
36,009600,119,037
36,009601,055,056
36,009601,085,024
36,009602,055,056
36,009602,085,024
36,009603,055,056
36,009604,055,056
36,009700,061,027
36,009700,061,031
36,009700,081,012
36,009700,085,023
36,009701,029,063
36,009701,119,035
36,009701,119,037
36,009702,029,063
36,009702,119,035
36,009702,119,037
36,009703,119,035
36,009703,119,037
36,009800,005,032
36,009800,005,034
36,009800,029,063
36,009800,047,017
36,009800,047,020
36,009800,061,028
36,009800,081,010
36,009800,119,035
36,009900,029,063
36,009900,061,027
36,009900,081,012
36,009900,119,035
36,010000,027,041
36,010000,047,020
36,010000,061,027
36,010000,061,028
36,010000,081,010
36,010000,081,015
36,010000,119,035
36,010001,029,063
36,010002,029,063
36,010003,029,063
36,010100,015,058
36,010100,043,051
36,010100,047,020
36,010100,047,025
36,010100,055,055
36,010100,061,027
36,010100,061,031
36,010100,067,053
36,010100,079,040
36,010100,081,012
36,010100,119,035
36,010101,029,063
36,010101,071,039
36,010101,087,039
36,010102,029,063
